complex	[ˈkɒmpleks] adj. 复杂的；难懂的；（语法）复合的
recall	[rɪˈkɔ:l] vt. & vi. 记起；回想起
qualification	[ˌkwɒlɪfɪˈkeɪʃn] n. （通过考试或学习课程取得的）资格；学历
qualify	[ˈkwɒlɪfaɪ] vt. & vi. （使）具备资格；（使）合格
ambition	[æmˈbɪʃn] n. 追求的目标；夙愿；野心；抱负
ambitious	[æmˈbɪʃəs] adj. 有野心的；有雄心的
adaptation	[ˌædæpˈteɪʃn] n. 适应；改编本
comfort	[ˈkʌmfət] zone  舒适区；舒适范围
tutor	[ˈtju:tə(r)] n. （英国大学中的）助教；导师；家庭教师
cite	[saɪt] vt. 引用；引述
participation	[pɑ:ˌtɪsɪˈpeɪʃn] n. 参加；参与
participate	[pɑ:ˈtɪsɪpeɪt] vi. 参加；参与
presentation	[ˌpreznˈteɪʃn] n. 报告；陈述；出示；拿出
engage	[ɪnˈgeɪdʒ] vi. 参加；参与（活动） vt. 吸引（注意力、兴趣）
involve	[ɪnˈvɒlv] vt. 包含；需要；涉及；影响；（使）参加
messenger	[ˈmesɪndʒə(r)] n. 送信人；信使
edition	[ɪˈdɪʃn] n. （报纸、杂志）一份；（广播、电视节目）一期、一辑；版次
culture	[ˈkʌltʃə(r)] shock  [ʃɒk]  文化冲击
zone	[zəʊn] n. （有别于周围的）地区；地带；区域
overwhelming	[ˌəʊvəˈwelmɪŋ] adj. 无法抗拒的；巨大的；压倒性的
homesickness	['həʊmsɪknəs] n. 思乡病；乡愁
motivated	['məʊtɪveɪtɪd] adj. 积极的；主动的
motivation	[ˌməʊtɪ'veɪʃn] n. 动力；积极性；动机
motivate	[ˈməʊtɪveɪt] vt. 成为……的动机；激发；激励
advisor	[əd'vaɪzə] n. (also -ser) 顾问
reasonable	[ˈri:znəbl] adj. 有道理的；合情理的
expectation	[ˌekspekˈteɪʃn] n. 期望；预期；期待
applicant	[ˈæplɪkənt] n. 申请人
firm	[fɜ:m] n. 公司；商行；事务所 adj. 结实的；牢固的；坚定的
exposure	[ɪkˈspəʊʒə(r)] n. 接触；体验；暴露；揭露
expose	[ɪk'spəʊz] vt. 使接触；使体验；显露；使暴露于（险境）
insight	[ˈɪnsaɪt] n. 洞察力；眼光
departure	[dɪˈpɑ:tʃə(r)] n. 离开；启程；出发
setting	[ˈsetɪŋ] n. 环境；背景；（小说等的）情节背景
grasp	[grɑ:sp] vt. 理解；领会；抓紧
dramatic	[drəˈmætɪk] adj. 巨大的；突然的；急剧的；喜剧（般）的
expense	[ɪkˈspens] n. 费用；花费；开销
tremendous	[trəˈmendəs] adj. 巨大的；极大的
behave	[bɪˈheɪv] vt. 表现 vi. & vt. 表现得体；有礼貌
surroundings	[səˈraʊndɪŋz] n. [pl.] 环境；周围的事物
mature	[məˈtʃʊə(r)] adj. 成熟的
depressed	[dɪˈprest] adj. 沮丧的；意志消沉的
boom	[bu:m] vi. & n. 迅速发展；繁荣
strengthen	[ˈstreŋθn] vi. & vt. 加强；增强；巩固
deny	[dɪˈnaɪ] vt. 否认；否定；拒绝
optimistic	[ˌɒptɪˈmɪstɪk] adj. 乐观的
gain	[geɪn] vt. 获得；赢得；取得；增加 n. 好处；增加
perspective	[pəˈspektɪv] n. （思考问题的）角度；观点
competence	[ˈkɒmpɪtəns] n. 能力；胜任；本领
competent	[ˈkɒmpɪtənt] adj. 有能力的；称职的
envoy	[ˈenvɔɪ] n. 使者；使节；代表
cooperate	[kəʊ'ɒpəreɪt] vi. 合作；协作；配合
angle	[ˈæŋgl] n. 角；角度；立场
belt	[belt] n. 腰带；地带
initiative	[ɪˈnɪʃətɪv] n. 倡议；新方案
sincerely	[sɪnˈsɪəli] adv. 真诚地；诚实地
budget	[ˈbʌdʒɪt] n. 预算
logical	[ˈlɒdʒɪkl] adj. 合乎逻辑的；合情合理的
as far as i am concerned	[kənˈsɜ:nd] 就我而言；依我看来
in summary	[ˈsʌməri] 总的来说；总之
participate in	参加；参与
speak up	大声点说；明确表态
feel at home	舒服自在；不拘束
engage in	（使）从事；参与
get involved in	参与；卷入；与……有关联
shock	[ʃɒk]  文化冲击
cost an arm and a leg	（使）花一大笔钱
surrounding	adj. 周围的；附近的
depress	vt. 使沮丧；使忧愁
outlook	[ˈaʊtlʊk]n. 前景；可能性；观点
side with	支持；站在……的一边
as far as i know	据我所知
generally speaking	一般来说
outcome	n. 结果；效果
