phrase	[frez] n. 短语；词组
persuade	[pəˈsweidid] vt. 劝说；说服
switch	[swɪtʃ] vt. 转换；交换 vi. & vt. （使）改变；转变 n. 开关；转换器；改变
distant	[ˈdɪstənt] adj. 遥远的；远处的；疏远的；心不在焉的
secure	[səˈkjʊr] adj. 安全的；安心的；可靠的；牢固的 vt. 获得；拴牢；保护
knob	[nɑb] n. 旋钮；球形把手
appliance	[əˈplaɪəns] n. 电器；器具
remote	[rɪˈmoʊt] adj. 远程的；偏远的
remote control	[kənˈtroʊl] 遥控器；遥控
air	[er] conditioner  [kənˈdɪʃənɚ]  空调机；空调设备
automatic	[ˌɔtəˈmætɪk] adj. 自动的
integrated	[ˈɪntɪɡretɪd] adj. 各部分密切协调的；综合的
integrate	[ˈɪntɪˌɡret] vi .& vt. （使）合并；成为一体
sensor	[ˈsɛnsɚ, -ˌsɔr] n. 传感器；敏感元件
efficient	[ɪˈfɪʃənt] adj. 效率高的；有功效的
mode	[moʊd] n. 模式；方式；风格
routine	[ruˈtin] n. 常规；正常顺序 adj. 常规的；日常的
daily	[ˈdeli] routine  日常生活
preference	[ˈprɛfərəns, ˈprɛfrəns] n. 爱好；偏爱
instant	[ˈɪnstənt] n. 瞬间；片刻 adj. 立即的；速食的；速溶的
command	[kəˈmænd] n. 指令；命令；控制 vt. 命令；控制
obey	[oˈbe] vi. & vt. 服从；遵守
warning	[ˈwɔrnɪŋ] n. 警告；警示；先兆
constant	[ˈkɑnstənt] adj. 不断的；重复的；不变的 n. 常数；常量
abnormal	[æbˈnɔrml] adj. 不正常的；反常的
critical	[ˈkrɪtɪkəl] adj. 严重的；关键的；批判性的
cancer	[ˈkænsɚ] n. 癌；癌症；毒瘤
potentially	[pəˈtɛnʃəlɪ] adv. 潜在地；可能地
potential	[pəˈtɛnʃəl] adj. 可能的；潜在的 n. 潜力；可能性
leak	[lik] vi. & vt. 漏；渗漏；透露  n. 漏洞；裂缝；透露
electrical	[ɪˈlektrɪkl] adj. 电的；用电的
wiring	[ˈwaɪrɪŋ] n. 电线线路；线路系统
wire	[waɪər] n. 电线；金属丝（或线） vt. 接通电源；将……连接到
detect	[dɪˈtɛkt] vt. 发现；查明
relevant	[ˈreləvənt] adj. 有关的；有意义的
catch	[kætʃ, kɛtʃ] fire  着火
fantasy	[ˈfæntəsi, -zi] n. 幻想；想象
innovation	[ˌɪnəˈveʃən] n. 创新；创造
available	[əˈveləbəl] adj. 可获得的；可购得的；（人）有空的
in this sense	[sɛns] (in ... sense)  从这种（某种）意义上来讲
nevertheless	[ˌnevərðəˈles] adv. 尽管如此；不过；然而
structure	[ˈstrʌktʃɚ] n. 结构；体系 vt. 系统安排；精心组织
security	[səˈkjʊrəti] n. 保护措施；安全工作
crime	[kraɪm] n. 犯罪活动；不法行为
combine	[kəmˈbaɪn] vt. & vi. （使）结合；混合
nanobot	[næ'noʊbɒt] n. 纳米机器人
artificial	[ˌɑrtɪˈfɪʃl] adj. 人工的；人造的；假的
artificial intelligence	[ɪnˈtɛlədʒəns] (AI)  人工智能
clone	[kloʊn] vt. 克隆；以无性繁殖技术复制 n. 克隆动物（或植物）
predict	[prɪˈdɪkt] vt. 预测；预言；预料
prediction	[prɪˈdɪkʃən] n. 预测；预言
forecast	[ˈfɔrkæst] vt. & n. 预测；预报
occupation	[ˌɑkjuˈpeɪʃn] n. 职业；占领
oppose	[əˈpoʊz] vt. 反对；抵制；阻挠
hence	[hɛns] adv. 因此；由此
cease	[sis] vi. & vt. （使）停止；终止
deceased	[dɪˈsist] adj. 已死的；亡故的
absence	[ˈæbsəns] n. 不存在；缺乏；缺席
rural	[ˈrʊrəl] adj. 乡村的；农村的
advocate	[ˈædvəˌket] vt. 提倡；支持；拥护 n. 提倡者；支持者；拥护者
emphasis	[ˈɛmfəsɪs] n. 强调；重视；重要性
luxury	[ˈlʌɡʒəri, ˈlʌkʃə-] n. 奢华
career	[kəˈrɪr] n. 职业；事业
prospect	[ˈprɑspekt] n. 可能性；前景
resist	[rɪˈzɪst] vi. & vt. 抵制；反抗；抵挡
resistance	[rɪˈzɪstəns] n. 抵制；反对；抗拒
paragraph	[ˈpærəgræf] n. 段；段落
signpost	[ˈsaɪnpoʊst] n. 路标
essay	[ˈɛsˌe, ɛˈse] n. 文章
accurate	[ˈækjərɪt] adj. 精确的；准确的		
librarian	[laɪ'brerɪrn] n. 图书管理员；图书馆馆长
conditioner	[kənˈdɪʃənɚ]  空调机；空调设备
vi	.& vt. （使）合并；成为一体
early on	在初期；早先
fire	着火
keep in touch	(with ... )  （与……）保持联系；了解（某课题或领域的情况）
