billion	[ˈbɪljən] n. 十亿
native	[ˈnetɪv] adj. 出生地的；本地的；土著的 n. 本地人
attitude	[ˈætɪtud] n. 态度；看法
reference	[ˈrefrəns] n. 指称关系；参考
refer	[rɪˈfɚ] vi. 提到；参考；查阅 vt. 查询；叫……求助于
system	[ˈsɪstəm] n. 体系；制度；系统
despite	[dɪˈspaɪt] prep. 即使；尽管
factor	[ˈfæktɚ] n. 因素；要素
based	[best] adj. 以（某事）为基础的；以……为重要部分（或特征）的
base	[bes] vt. 以……为据点；以……为基础 n. 底部；根据
date	[deɪt] back (to ...)  追溯到
bone	[boʊn] n. 骨头；骨（质）
shell	[ʃɛl] n. 壳；壳状物
symbol	[ˈsɪmbəl] n. 符号；象征
carve	[kɑrv] vt. & vi. 雕刻
dynasty	[ˈdaɪnəsti] n. 王朝；朝代
variety	[vəˈraɪəti] n. （植物、语言等的）变体；异体；多样化
major	[ˈmedʒɚ] adj. 主要的；重要的；大的 n. 主修课程；主修学生 vi. 主修；专门研究
dialect	[ˈdaɪəˌlɛkt] n. 地方话；方言
means	[minz] n. 方式；方法；途径
regard	[rɪˈgɑrd] n. 尊重；关注 vt. 把……视为；看待
character	[ˈkærəktər] n. 文字；符号；角色；品质；特点
calligraphy	[kəˈlɪɡrəfi] n. 书法；书法艺术
global	[ˈgloʊbl] adj. 全球的；全世界的
affair	[əˈfer] n. 公共事务；事件；关系
appreciate	[əˈpriʃiˌet] vt. 欣赏；重视；感激；领会 vi. 增值
specific	[spɪˈsɪfɪk] adj. 特定的；明确的；具体的
struggle	[ˈstrʌɡəl] n. & vi. 斗争；奋斗；搏斗
tongue	[tʌŋ] n. 舌头；语言
semester	[səˈmɛstɚ] n. 学期
gas	[ɡæs] n. 汽油；气体；燃气
petrol	[ˈpɛtrəl] n. (NAmE gas) 汽油
subway	[ˈsʌbˌwe] n. (BrE underground) 地铁
apartment	[əˈpɑrtmənt] n. (especially NAmE) 公寓套房
pants	[pænts] n. [pl.] (BrE) 内裤；短裤；(especially NAmE) 裤子
beg	[bɛɡ] vt. 恳求；祈求；哀求
equal	[ˈikwəl] n. 同等的人；相等物 adj. 相同的；同样的
gap	[ɡæp] n. 间隔；开口；差距
demand	[dɪˈmænd] n. 要求；需求 vt. 强烈要求；需要 vi. 查问
vocabulary	[vəˈkæbjəleri] n. 词汇
description	[dɪˈskrɪpʃən] n. 描写（文字）；形容
relate	[rɪˈlet] vt. 联系；讲述
refer to	指的是；描述；提到；查阅
ups and downs	浮沉；兴衰；荣辱
back	(to ...)  追溯到
no matter	where, who, what, etc.  不论……；不管……
classic	adj. 传统的；最优秀的；典型的 n. 经典作品；名著
ce	(= Common Era) 公元
point of view	观点；看法
name	gas) 汽油
bre	underground) 地铁
relate to	与……相关；涉及；谈到
