fiction	[ˈfɪkʃn] n. 小说；虚构的事
science	[ˈsaɪəns] fiction (informal sci-fi) (abbr. SF)  科幻小说（或影片等）
bonus	[ˈbəʊnəs] n. 意外收获；奖金；红利
ridiculous	[rɪˈdɪkjələs] adj. 愚蠢的；荒谬的；荒唐的
integrity	[ɪnˈtegrəti] n. 诚实正直；完整；完好
dignity	[ˈdɪgnəti] n. 庄重；庄严；尊严
salary	[ˈsæləri] n. 薪水；薪金
absurd	[əbˈsɜ:d] adj. 荒谬的；荒唐的
appointment	[əˈpɔɪntmənt] n. 预约；约会；委任
nail	[neɪl] n. 指甲；趾甲；钉子 vt. （用钉子）钉牢；固定
saleswoman	[ ˈseɪlzwʊmən] n. 女售货员；女推销员
guilty	[ˈgɪlti] adj. 内疚的；有罪的；有过失的
suspend	[səˈspend] vt. 悬；挂；暂停；暂缓
ladder	[ˈlædə(r)] n. 梯子；阶梯
dismiss	[dɪsˈmɪs] vt. 让（某人）离开；解散；解雇；消除
declare	[dɪˈkleə(r)] vt. 表明；宣称；公布
whereas	[ˌweərˈæz] conj. 然而；但是；尽管
rumour	[ˈru:mə(r)] n. 谣言；传闻
presume	[prɪˈzju:m] vt. & vi. 假设；假定
fare	[feə(r)] n. 车费；船费；飞机票价
weekly	[ˈwi:kli] adj. 每周的 n. 周刊
basis	[ˈbeɪsɪs] 根据；以……的方式（基准）
calculate	[ˈkælkjuleɪt] vt. 计算；核算；预测
chairwoman	[ˈtʃeəwʊmən] n. 女主席；女董事长；女委员长
gramme	[ɡræm] (NAmE gram)  n. 克（重量单位）
flour	[ˈflaʊə(r)] n. 面粉；（谷物磨成的）粉
venue	[ˈvenju:] n. 活动场地（如音乐厅、会场等）
salesman	[ˈseɪlzmən] n. 售货员；推销员
alien	[ˈeɪliən] n. 外星人（生物）；外国人 adj. 陌生的；外星的；外国的
blurred	[blɜ:d] adj. 模糊不清的；难以区分的
superior	[su:ˈpɪəriə(r)] adj. 更好的；占优势的；（在级别或重要性上）更高的
inaction	[ɪnˈækʃn] n. 无行动；不采取措施
conflict	[ˈkɒnflɪkt] with  与……冲突或抵触
labour	['leɪbə(r)] n. 劳动（者）；体力劳动 vi. 奋斗；努力工作
leather	[ˈleðə(r)] n. 皮革；[pl.] 皮衣；皮外套
lever	[ˈlevər] n. 操纵杆；杠杆
panel	[ˈpænl] n. 控制板；仪表盘；专家咨询组
inch	[ɪntʃ] n. 英寸（长度单位，等于2.54厘米）
backwards	[ˈbækwədz] (NAmE backward)  adv. 向后；倒着；往回
grip	[grɪp] vt. & vi. 紧握；抓紧
hazy	[ˈheɪzi] adj. 模糊的；朦胧的；困惑的
niece	[ni:s] n. 侄女；外甥女
fetch	[fetʃ] vt. （去）拿来；（去）请来
handkerchief	[ˈhæŋkətʃɪf] n. 手帕；纸巾
lamp	[læmp] n. 灯；台灯
pace	[peɪs] n. 速度；步伐；节奏 vt. & vi. 确定速度；调整节奏
division	[dɪˈvɪʒn] n. 分开；分隔；差异；除（法）
puff	[pʌf] n. （烟、气等的）一缕；少量；喘息
urge	[ɜ:dʒ] n. 强烈的欲望；冲动 vt. 催促；力劝；大力推荐
random	[ˈrændəm] adj. 随机的；不可思议的
maximum	[ˈmæksɪməm] adj. 最大极限的 n. 最大量；最大限度
explode	[ɪkˈspləʊd] vi. & vt. 爆炸；爆破
jolt	[dʒəʊlt] n. 震动；摇晃；颠簸 vt. & vi. （使）震动；摇晃
flip	[flɪp] vt. & vi. （使）快速翻转；（用手指）轻抛
stun	[stʌn] vt. 使震惊，使昏迷
mud	[mʌd] n. 泥；泥浆
overstatement	['əʊvəsteɪtmənt] n. 夸大；夸张
out	检验；测试
more like	更像是；更接近
on a	... basis  [ˈbeɪsɪs]  根据；以……的方式（基准）
pros and cons	事物的利与弊；支持与反对
superior to	比……更好；更胜一筹
take over	占上风；取而代之；接管；接手
with	与……冲突或抵触
turn out	关掉；熄灭；在场；使朝外；结果是
fall away	（逐渐）减少；消失
have an urge to	有强烈的欲望做某事
